"State","sex","Urban_Rural","status","Disability_Type","dis_mar_count","dis_mar_total","dis_mar_perc","mar_count","mar_total","mar_perc"
"BIHAR","P","Urban","Seperated","Total disabled population",862,284658,0.00302819523779412,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","In Speech",79,20648,0.00382603641999225,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","Mental Retardation",162,10731,0.0150964495387196,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","Any Other",95,53647,0.00177083527503868,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","In Movement",140,39183,0.00357297807722737,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","Mental Illness",122,4830,0.0252587991718426,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","In Seeing",90,68962,0.00130506655839448,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Seperated","In Hearing",112,74407,0.00150523472253955,11425,11758016,0.000971677534713339
"BIHAR","P","Urban","Widowed","Mental Illness",255,4830,0.0527950310559006,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","Multiple Disability",1179,12250,0.0962448979591837,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","Any Other",2283,53647,0.0425559677148769,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","Total disabled population",15711,284658,0.0551925468456885,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","In Seeing",3870,68962,0.0561178620109626,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","In Speech",861,20648,0.0416989538938396,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","In Movement",3173,39183,0.0809789959931603,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","Mental Retardation",430,10731,0.0400708228496878,398594,11758016,0.0338997667633723
"BIHAR","P","Urban","Widowed","In Hearing",3660,74407,0.0491889203972744,398594,11758016,0.0338997667633723
"CHANDIGARH","F","Rural","Divorced","In Seeing",0,17,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","In Speech",0,23,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","In Movement",0,44,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","Mental Illness",0,9,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","Any Other",0,12,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","In Hearing",0,7,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","Multiple Disability",0,12,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","Total disabled population",0,134,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Divorced","Mental Retardation",0,10,0,8,11841,0.000675618613292796
"CHANDIGARH","F","Rural","Married","In Seeing",7,17,0.411764705882353,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","In Movement",24,44,0.545454545454545,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","In Hearing",2,7,0.285714285714286,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","In Speech",12,23,0.521739130434783,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","Multiple Disability",0,12,0,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","Total disabled population",53,134,0.395522388059701,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","Mental Retardation",1,10,0.1,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","Mental Illness",3,9,0.333333333333333,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","Married","Any Other",4,12,0.333333333333333,6212,11841,0.524617853221856
"CHANDIGARH","F","Rural","NeverMarried","Multiple Disability",10,12,0.833333333333333,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","In Movement",9,44,0.204545454545455,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","In Speech",8,23,0.347826086956522,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","Mental Retardation",8,10,0.8,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","Any Other",8,12,0.666666666666667,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","In Seeing",8,17,0.470588235294118,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","Mental Illness",6,9,0.666666666666667,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","Total disabled population",59,134,0.440298507462687,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","NeverMarried","In Hearing",2,7,0.285714285714286,5150,11841,0.434929482307238
"CHANDIGARH","F","Rural","Seperated","Any Other",0,12,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","In Movement",1,44,0.0227272727272727,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","In Seeing",0,17,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","Multiple Disability",0,12,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","Mental Illness",0,9,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","Total disabled population",1,134,0.00746268656716418,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","Mental Retardation",0,10,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","In Hearing",0,7,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Seperated","In Speech",0,23,0,22,11841,0.00185795118655519
"CHANDIGARH","F","Rural","Widowed","In Seeing",2,17,0.117647058823529,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","Mental Retardation",1,10,0.1,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","Multiple Disability",2,12,0.166666666666667,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","Total disabled population",21,134,0.156716417910448,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","Mental Illness",0,9,0,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","Any Other",0,12,0,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","In Speech",3,23,0.130434782608696,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","In Movement",10,44,0.227272727272727,449,11841,0.0379190946710582
"CHANDIGARH","F","Rural","Widowed","In Hearing",3,7,0.428571428571429,449,11841,0.0379190946710582
"CHANDIGARH","F","Total","Divorced","Any Other",6,1029,0.00583090379008746,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","In Movement",7,1437,0.00487125956854558,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","Multiple Disability",4,567,0.00705467372134039,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","In Speech",1,399,0.0025062656641604,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","Mental Illness",13,311,0.0418006430868167,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","Total disabled population",43,6053,0.00710391541384437,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","In Hearing",7,1207,0.00579950289975145,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","In Seeing",3,696,0.00431034482758621,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Divorced","Mental Retardation",2,407,0.00491400491400491,863,474787,0.00181765718100959
"CHANDIGARH","F","Total","Married","Any Other",467,1029,0.453838678328474,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","In Seeing",331,696,0.475574712643678,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","In Speech",195,399,0.488721804511278,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","In Hearing",589,1207,0.487986743993372,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","Mental Illness",109,311,0.35048231511254,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","Mental Retardation",76,407,0.186732186732187,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","Multiple Disability",160,567,0.282186948853616,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","In Movement",705,1437,0.490605427974948,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","Married","Total disabled population",2632,6053,0.434825706261358,245820,474787,0.517747958558259
"CHANDIGARH","F","Total","NeverMarried","Mental Illness",158,311,0.508038585209003,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","In Hearing",444,1207,0.367854183927092,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","In Seeing",220,696,0.316091954022989,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","Any Other",452,1029,0.439261418853256,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","In Movement",419,1437,0.291579679888657,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","In Speech",175,399,0.43859649122807,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","Total disabled population",2476,6053,0.409053361969271,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","Multiple Disability",297,567,0.523809523809524,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","NeverMarried","Mental Retardation",311,407,0.764127764127764,202524,474787,0.426557593194422
"CHANDIGARH","F","Total","Seperated","In Speech",0,399,0,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","In Movement",10,1437,0.0069589422407794,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","Multiple Disability",2,567,0.00352733686067019,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","In Seeing",3,696,0.00431034482758621,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","Any Other",6,1029,0.00583090379008746,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","In Hearing",1,1207,0.000828500414250207,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","Mental Illness",2,311,0.00643086816720257,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","Total disabled population",27,6053,0.00446059805055344,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Seperated","Mental Retardation",3,407,0.00737100737100737,1084,474787,0.0022831290662971
"CHANDIGARH","F","Total","Widowed","Any Other",98,1029,0.0952380952380952,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","Multiple Disability",104,567,0.18342151675485,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","Mental Retardation",15,407,0.0368550368550369,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","In Speech",28,399,0.0701754385964912,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","In Hearing",166,1207,0.137531068765534,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","In Seeing",139,696,0.199712643678161,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","In Movement",296,1437,0.20598469032707,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","Total disabled population",875,6053,0.144556418304973,24496,474787,0.0515936620000126
"CHANDIGARH","F","Total","Widowed","Mental Illness",29,311,0.0932475884244373,24496,474787,0.0515936620000126
"CHANDIGARH","F","Urban","Divorced","Multiple Disability",4,555,0.00720720720720721,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","Mental Illness",13,302,0.043046357615894,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","In Hearing",7,1200,0.00583333333333333,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","In Movement",7,1393,0.0050251256281407,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","Mental Retardation",2,397,0.00503778337531486,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","Any Other",6,1017,0.00589970501474926,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","In Speech",1,376,0.00265957446808511,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","In Seeing",3,679,0.00441826215022091,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Divorced","Total disabled population",43,5919,0.00726474066565298,855,462946,0.0018468676692314
"CHANDIGARH","F","Urban","Married","Total disabled population",2579,5919,0.435715492481838,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","In Movement",681,1393,0.488872936109117,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","Mental Retardation",75,397,0.188916876574307,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","In Seeing",324,679,0.477172312223859,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","Any Other",463,1017,0.455260570304818,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","In Speech",183,376,0.486702127659574,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","Multiple Disability",160,555,0.288288288288288,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","Mental Illness",106,302,0.350993377483444,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","Married","In Hearing",587,1200,0.489166666666667,239608,462946,0.517572243847015
"CHANDIGARH","F","Urban","NeverMarried","Any Other",444,1017,0.436578171091445,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","In Hearing",442,1200,0.368333333333333,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","Multiple Disability",287,555,0.517117117117117,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","Mental Illness",152,302,0.503311258278146,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","In Seeing",212,679,0.312223858615611,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","Total disabled population",2417,5919,0.408346004392634,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","Mental Retardation",303,397,0.763224181360202,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","In Movement",410,1393,0.294328786791098,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","NeverMarried","In Speech",167,376,0.444148936170213,197374,462946,0.426343461224419
"CHANDIGARH","F","Urban","Seperated","Multiple Disability",2,555,0.0036036036036036,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","In Seeing",3,679,0.00441826215022091,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","Mental Illness",2,302,0.00662251655629139,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","Any Other",6,1017,0.00589970501474926,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","In Speech",0,376,0,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","In Hearing",1,1200,0.000833333333333333,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","Mental Retardation",3,397,0.00755667506297229,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","In Movement",9,1393,0.00646087580760948,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Seperated","Total disabled population",26,5919,0.00439263389085994,1062,462946,0.00229400405230848
"CHANDIGARH","F","Urban","Widowed","In Seeing",137,679,0.201767304860088,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","In Movement",286,1393,0.205312275664034,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","In Speech",25,376,0.0664893617021277,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","Multiple Disability",102,555,0.183783783783784,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","Mental Illness",29,302,0.0960264900662252,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","Mental Retardation",14,397,0.035264483627204,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","In Hearing",163,1200,0.135833333333333,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","Total disabled population",854,5919,0.144281128569015,24047,462946,0.0519434232070263
"CHANDIGARH","F","Urban","Widowed","Any Other",98,1017,0.0963618485742379,24047,462946,0.0519434232070263
"CHANDIGARH","M","Rural","Divorced","In Hearing",0,25,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","In Seeing",0,14,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","In Movement",0,85,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","Multiple Disability",0,17,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","Total disabled population",0,212,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","Any Other",0,28,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","Mental Retardation",0,6,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","Mental Illness",0,11,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Divorced","In Speech",0,26,0,12,17150,0.000699708454810496
"CHANDIGARH","M","Rural","Married","In Movement",53,85,0.623529411764706,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","Multiple Disability",3,17,0.176470588235294,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","In Seeing",6,14,0.428571428571429,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","Mental Illness",3,11,0.272727272727273,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","Any Other",9,28,0.321428571428571,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","In Hearing",16,25,0.64,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","Total disabled population",105,212,0.495283018867925,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","In Speech",15,26,0.576923076923077,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","Married","Mental Retardation",0,6,0,8149,17150,0.475160349854227
"CHANDIGARH","M","Rural","NeverMarried","Total disabled population",105,212,0.495283018867925,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","Multiple Disability",14,17,0.823529411764706,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","In Speech",11,26,0.423076923076923,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","Any Other",19,28,0.678571428571429,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","Mental Illness",8,11,0.727272727272727,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","In Seeing",7,14,0.5,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","Mental Retardation",6,6,1,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","In Hearing",9,25,0.36,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","NeverMarried","In Movement",31,85,0.364705882352941,8812,17150,0.513819241982507
"CHANDIGARH","M","Rural","Seperated","Any Other",0,28,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","Total disabled population",0,212,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","In Seeing",0,14,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","In Movement",0,85,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","In Hearing",0,25,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","Multiple Disability",0,17,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","In Speech",0,26,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","Mental Illness",0,11,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Seperated","Mental Retardation",0,6,0,24,17150,0.00139941690962099
"CHANDIGARH","M","Rural","Widowed","Any Other",0,28,0,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","Mental Illness",0,11,0,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","Multiple Disability",0,17,0,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","In Hearing",0,25,0,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","In Seeing",1,14,0.0714285714285714,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","In Movement",1,85,0.0117647058823529,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","In Speech",0,26,0,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","Mental Retardation",0,6,0,153,17150,0.00892128279883382
"CHANDIGARH","M","Rural","Widowed","Total disabled population",2,212,0.00943396226415094,153,17150,0.00892128279883382
"CHANDIGARH","M","Total","Divorced","In Seeing",2,1078,0.00185528756957328,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","Total disabled population",26,8743,0.00297380761752259,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","In Hearing",1,1268,0.000788643533123028,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","Any Other",1,1554,0.000643500643500643,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","In Speech",0,562,0,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","In Movement",7,2378,0.00294365012615643,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","Mental Illness",11,445,0.0247191011235955,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","Multiple Disability",3,775,0.00387096774193548,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Divorced","Mental Retardation",1,683,0.00146412884333821,653,580663,0.00112457656162008
"CHANDIGARH","M","Total","Married","Any Other",778,1554,0.500643500643501,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","In Hearing",732,1268,0.577287066246057,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","In Seeing",566,1078,0.525046382189239,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","Mental Illness",129,445,0.289887640449438,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","Mental Retardation",92,683,0.134699853587116,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","In Speech",246,562,0.437722419928826,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","Multiple Disability",258,775,0.332903225806452,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","Total disabled population",4194,8743,0.479698044149605,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","Married","In Movement",1393,2378,0.58578637510513,282169,580663,0.485942792979749
"CHANDIGARH","M","Total","NeverMarried","Multiple Disability",472,775,0.609032258064516,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","In Seeing",459,1078,0.425788497217069,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","Any Other",742,1554,0.477477477477477,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","In Hearing",469,1268,0.3698738170347,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","Mental Retardation",580,683,0.849194729136164,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","In Movement",866,2378,0.36417157275021,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","Mental Illness",291,445,0.653932584269663,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","Total disabled population",4189,8743,0.479126158069313,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","NeverMarried","In Speech",310,562,0.551601423487544,289490,580663,0.498550794522813
"CHANDIGARH","M","Total","Seperated","Any Other",2,1554,0.00128700128700129,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","Total disabled population",38,8743,0.00434633421022532,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","Mental Illness",5,445,0.0112359550561798,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","In Movement",10,2378,0.00420521446593776,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","Multiple Disability",2,775,0.00258064516129032,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","In Seeing",4,1078,0.00371057513914657,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","In Hearing",6,1268,0.00473186119873817,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","Mental Retardation",8,683,0.0117130307467057,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Seperated","In Speech",1,562,0.00177935943060498,990,580663,0.00170494762022033
"CHANDIGARH","M","Total","Widowed","Multiple Disability",40,775,0.0516129032258065,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","In Movement",102,2378,0.0428931875525652,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","Total disabled population",296,8743,0.0338556559533341,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","In Seeing",47,1078,0.0435992578849722,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","Mental Retardation",2,683,0.00292825768667643,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","Any Other",31,1554,0.0199485199485199,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","In Speech",5,562,0.00889679715302491,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","In Hearing",60,1268,0.0473186119873817,7361,580663,0.0126768883155979
"CHANDIGARH","M","Total","Widowed","Mental Illness",9,445,0.0202247191011236,7361,580663,0.0126768883155979
"CHANDIGARH","M","Urban","Divorced","Multiple Disability",3,758,0.00395778364116095,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","In Speech",0,536,0,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","In Seeing",2,1064,0.0018796992481203,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","Mental Illness",11,434,0.0253456221198157,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","In Movement",7,2293,0.00305276929786306,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","Mental Retardation",1,677,0.00147710487444609,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","Total disabled population",26,8531,0.00304770835775407,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","Any Other",1,1526,0.000655307994757536,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Divorced","In Hearing",1,1243,0.00080450522928399,641,563513,0.00113750703178099
"CHANDIGARH","M","Urban","Married","Total disabled population",4089,8531,0.479310749032939,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","In Hearing",716,1243,0.576025744167337,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","Multiple Disability",255,758,0.336411609498681,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","In Speech",231,536,0.430970149253731,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","Any Other",769,1526,0.503931847968545,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","Mental Retardation",92,677,0.13589364844904,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","Mental Illness",126,434,0.290322580645161,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","In Seeing",560,1064,0.526315789473684,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","Married","In Movement",1340,2293,0.584387265590929,274020,563513,0.486270946721726
"CHANDIGARH","M","Urban","NeverMarried","Mental Retardation",574,677,0.847858197932053,280678,563513,0.498086113363844
"CHANDIGARH","M","Urban","NeverMarried","In Seeing",452,1064,0.424812030075188,280678,563513,0.498086113363844
"CHANDIGARH","M","Urban","NeverMarried","Multiple Disability",458,758,0.604221635883905,280678,563513,0.498086113363844
"CHANDIGARH","M","Urban","NeverMarried","Mental Illness",283,434,0.652073732718894,280678,563513,0.498086113363844
